rank,material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable,hull_score,formation_score,stable_score,overall_score,battery_relevant_metals,flagged_elements,screening_status
4168,mp-766464,LiFe2(PO4)2,"Fe,Li,O,P",2.757656039268319,1.7438000000000002,0.0468306065384629,-2.37384538308608,False,0.0633752356036524,0.5011850914770366,0,0.2102711615989716,Fe,,POSSIBLE
4169,mp-768354,Li4Mn5Co3O16,"Co,Li,Mn,O",4.554719545439056,0.0,0.0402413578372957,-1.842892699392448,False,0.195161987227524,0.2935580140999007,0,0.2100843979101034,"Co, Mn",,POSSIBLE
4170,mp-705315,LiCr(PO3)5,"Cr,Li,O,P",2.442086716572492,0.0039,0.0484622887121206,-2.503408444502164,False,0.030741151946917,0.5518502460266236,0,0.2100552196801226,Cr,,POSSIBLE
4171,mp-780669,Li3Mn4(BO3)4,"B,Li,Mn,O",3.132940128672919,0.0,0.0479411990217339,-2.461470474930036,False,0.0411630863305117,0.535450558595311,0,0.2100473929901403,Mn,,POSSIBLE
4172,mp-761011,Li3V3P8O29,"Li,O,P,V",2.5391921741201045,1.2772,0.0487186448255734,-2.523137595166112,False,0.0256139605199367,0.55956525720802,0,0.2099355183087722,V,,POSSIBLE
4173,mp-765430,Li4V3P8O29,"Li,O,P,V",2.531758714685593,1.0967,0.0493316483333314,-2.57220567387446,False,0.0133537249930616,0.5787531473677467,0,0.2099081503248952,V,,POSSIBLE
4174,mp-752655,Li4Nb2Fe3Ni3O16,"Fe,Li,Nb,Ni,O",4.586942731129215,0.0,0.0419782245267867,-1.980855972619047,False,0.160424184878194,0.3475080403172097,0,0.2098611157940301,"Fe, Ni",,POSSIBLE
4175,mp-851105,Li2Cu2(SO4)3,"Cu,Li,O,S",3.147537815642662,0.0,0.039297701842103,-1.7653428908771929,False,0.2140353617041633,0.2632324491528183,0,0.2098508061407762,,,REVIEW
4176,mp-25817,LiCr2P3O11,"Cr,Li,O,P",3.257319158915708,1.0380000000000005,0.0496597341176414,-2.597094434838935,False,0.0067919207982182,0.5884858050174703,0,0.2097055881951346,Cr,,POSSIBLE
4177,mp-774602,Li4V3Fe3(SbO8)2,"Fe,Li,O,Sb,V",4.721538054890224,0.2622999999999997,0.043850817812495,-2.1300700861904764,False,0.1229718139891645,0.4058576659161122,0,0.2096846807646797,"Fe, V",,POSSIBLE
4178,mp-760123,Li3V3P8O29,"Li,O,P,V",2.4810023193339537,0.9065,0.0487465479651074,-2.523109692026578,False,0.0250558902017467,0.5595543457888126,0,0.2096247606370451,V,,POSSIBLE
4179,mp-759051,Li2FeCo9O20,"Co,Fe,Li,O",4.4051284440302485,0.0081999999999999,0.0330864828124912,-1.2620671352083344,False,0.3382614179147779,0.0664283318115656,0,0.2092936959871758,"Co, Fe",,POSSIBLE
4180,mp-754033,LiMn2(PO4)2,"Li,Mn,O,P",2.8605568874912857,0.0,0.0484570940384632,-2.497412933344701,False,0.030845046821447,0.549505723628985,0,0.2092917790219406,Mn,,POSSIBLE
4181,mp-1100485,Li9Mn7O16,"Li,Mn,O",3.915563312018171,1.0529000000000002,0.0438173235937382,-2.1236436776724137,False,0.1236417074001319,0.4033446427040348,0,0.2091735640164847,Mn,,POSSIBLE
