material_id,formula,elements,density,band_gap,energy_above_hull,formation_energy_per_atom,is_stable
mp-769287,Li2TiS2O,"Li,O,S,Ti",2.2800698884507478,2.2463,0.027613073564816126,-2.0103958154166666,False
mp-775901,LiV3OF11,"F,Li,O,V",2.9343591004477765,1.4560000000000002,0.040301110039060006,-2.9698529045833335,False
mp-775902,LiV3OF11,"F,Li,O,V",2.909371816000372,1.2935999999999999,0.04482449503906061,-2.965329519583333,False
mp-776414,LiV4OF11,"F,Li,O,V",3.314523906497979,1.0343,0.044406640588232626,-3.118484364313726,False
mp-776488,LiMnOF2,"F,Li,Mn,O",3.368827419333352,0.9907999999999999,0.02799144766666295,-2.6744702702528746,False
mp-776904,LiFe2OF3,"F,Fe,Li,O",3.7547756124259153,2.9055,0.034207641428569247,-2.403235781190476,False
mp-777269,LiV3OF11,"F,Li,O,V",2.925358651740832,1.4645000000000001,0.030750144101560295,-2.979403870520833,False
mp-777831,LiV4OF11,"F,Li,O,V",3.2909377471983654,0.9877000000000001,0.04127888764705556,-3.121612117254902,False
mp-778107,LiV4OF11,"F,Li,O,V",3.2904099120689216,1.1080999999999999,0.04351982235293761,-3.1193711825490205,False
mp-778119,LiFe2OF3,"F,Fe,Li,O",3.81794518188963,2.7818,0.044051986071426796,-2.3933914365476183,False
mp-779753,LiV4OF11,"F,Li,O,V",3.296641236954955,1.3346999999999998,0.04095376441176146,-3.1219372404901966,False
mp-780857,Li2VOF4,"F,Li,O,V",2.7073390561756754,1.6283,0.003700841250010356,-3.031692705208333,False
mp-849274,LiFeOF2,"F,Fe,Li,O",3.3733606779178182,2.4912,0.03950447755555331,-2.518478076666667,False
mp-850198,Li4Co2OF7,"Co,F,Li,O",3.263672300676036,1.2875,0.04518957785714228,-2.6304690516666676,False
mp-850188,LiVOF4,"F,Li,O,V",2.626487010023065,2.1572,0.040682309047614496,-2.8218241261904766,False
mp-850339,Li5CoOF5,"Co,F,Li,O",2.5593615017125257,1.0417999999999998,0.036831308124998685,-2.812136761388889,False
mp-850394,LiV3OF11,"F,Li,O,V",2.836657253024669,1.7972,0.04514710816405998,-2.9650069064583335,False
mp-850913,LiVOF3,"F,Li,O,V",2.8965799998478636,1.6564999999999999,0.04312374750000991,-2.9492691630555563,False
mp-861557,Li4Mn3OF11,"F,Li,Mn,O",3.2641982215964744,1.0928,0.04577794333333607,-2.855495353532971,False
mp-1176561,LiV4OF11,"F,Li,O,V",3.342466631263295,0.8691,0.04877828411764451,-3.114112720784314,False
